magic_rank,ticker,name,pasa_filtros,per,pb,ev_ebit,ev_ebitda,fcf_yield,earnings_yield,roic,roc_greenblatt,roe,net_debt_ebitda,interest_coverage,current_ratio,piotroski,es_financiera,fin_rank,roa,capital_activos,fin_score
14,KVUE,Kenvue Inc.,True,25.90052499316664,3.536811123079885,15.9327969096748,12.945732662388073,0.0452279856002004,0.06276361932365902,0.15916592744502797,1.0913200723327305,0.13655364607524384,0.13059575900370246,5.613953488372093,0.9582842724978974,6,False,,,,
15,KDP,Keurig Dr Pepper Inc.,False,21.79251050806902,1.7756164503164875,16.282973243713425,16.282973243713425,0.033218096815311224,0.06141384531145641,0.07199365205731456,1.1068111455108358,0.0814782881329362,3.60979020979021,,0.6352231604342582,7,False,,,,
16,INTU,INTUIT INC.,True,19.467152912777813,3.821330016211941,15.926754950139621,15.926754950139621,0.0812948603728538,0.06278742927423728,0.17282482302980465,1.0478927203065134,0.1962962962962963,0.6274629291082673,19.931174089068826,1.3603664416586307,8,False,,,,
17,YUM,YUM BRANDS INC,False,29.123206817113008,-6.198372618140502,17.378430236161297,16.09067605319395,0.036098873042377674,0.057542596564284905,-0.24162695213759983,1.2090183184593706,-0.21283276450511945,-0.24136690647482015,4.731617647058823,1.345646437994723,4,False,,,,
18,META,"Meta Platforms, Inc.",True,24.81697480634154,6.906481050444879,18.291652611097998,14.949708150215884,0.03073145250143217,0.05466974588142327,0.2440064072329069,1.2450438058786593,0.2782966539773433,0.22446315706826836,76.4,2.5987666124868536,5,False,,,,
19,IQV,IQVIA HOLDINGS INC.,False,25.408069764305562,5.313697505682849,22.13518555428761,14.521640071995058,0.05935469515329929,0.04517694227353332,0.09069940974409164,4.093808630393997,0.20913424573273873,4.132291040288635,2.993141289437586,0.7494603022307508,5,False,,,,
20,AEP,AMERICAN ELECTRIC POWER CO INC,False,20.3906856948572,2.420321611156536,23.312083912049673,14.344860519226309,0.04632186706074608,0.04289620798263834,0.06442960621838838,7.226902173913044,0.11869741152289806,5.6262147154095326,2.625370187561698,0.4545591107105303,5,False,,,,
21,EME,"EMCOR Group, Inc.",True,27.047175330008557,9.370340038393483,19.443087770769015,19.443087770769015,0.03454683633629128,0.05143215994238388,0.49444265171703894,1.292480398768332,0.34644431161716127,-0.6489764902668234,142.54725457570714,1.2204354010532503,6,False,,,,
22,QSR,Restaurant Brands International Inc.,False,31.794446900833485,9.405346840505228,21.02544523996185,18.497015748460246,0.042394415004239336,0.04756141849017103,0.09969077262062062,1.8063986874487286,0.2958172812328013,4.841789852177387,,0.9789000345901072,6,False,,,,
23,ITW,ILLINOIS TOOL WORKS INC,True,25.59460365608947,24.325187479718014,20.53867523946165,20.53867523946165,0.03449591718544724,0.04868863197557485,0.2936036671368124,1.2760290556900726,0.9504029758214507,1.9255218216318786,14.438356164383562,1.2095200936402652,6,False,,,,
24,ETR,ENTERGY CORP /DE/,False,29.71872651711275,3.114153115966537,25.515295317001996,14.834668372561346,-0.04808767580285168,0.039192178165135906,0.054436417771562336,6.649386407525073,0.10478756935204923,5.266309007187202,2.2663694172850515,0.7422823409222689,6,False,,,,
25,GILD,"GILEAD SCIENCES, INC.",True,19.151690089840045,7.178825823218904,17.9956977314447,17.9956977314447,0.058019074663272927,0.05556883733675158,0.21725093338923776,0.8258755665430573,0.37484032947187595,1.7333865495909,9.787109375,1.5526961821721832,8,False,,,,
26,PG,PROCTER & GAMBLE Co,True,22.071690233289356,6.743423987961215,18.458617172097412,16.202986513287154,0.03983286536004174,0.054175239167516265,0.2110044807085579,0.8557977988868896,0.3055236783719685,1.0697913984032965,22.54796030871003,0.7041987908369849,6,False,,,,
27,QCOM,QUALCOMM INC/DE,True,33.52598808879264,8.760138640007545,15.787818696883853,13.975675288385757,0.06901099492645377,0.06333997236726419,0.20256090763025872,0.5800469483568075,0.26129397340375365,0.6656874686537222,18.606927710843372,2.8164916885389326,6,False,,,,
28,NFLX,NETFLIX INC,True,29.78940842366549,12.290718906651792,24.954043920372197,24.345009614307525,0.02892196229556213,0.04007366514184947,0.3589546874601327,3.295718356686635,0.41258687422902035,0.39744935428951933,17.16217820762128,1.185709316059751,7,False,,,,
29,PAYX,PAYCHEX INC,True,22.991754448585954,9.23067699797517,18.771769102523667,17.144809965100738,0.0448532824712118,0.05327148413867718,0.22521776091535942,0.8931909212283045,0.40147771317829456,1.381019361244415,20.945920303605313,1.281787731983957,5,False,,,,
30,MAR,MARRIOTT INTERNATIONAL INC /MD/,False,37.809563693466075,-26.07867281005178,23.667634669573836,23.667634669573836,0.026519514499468898,0.04225179296372864,-0.7728848594163907,2.1192425793244625,-0.6897374701670644,-0.08089833373581261,5.118665018541409,0.426768278161467,7,False,,,,
31,HON,HONEYWELL INTERNATIONAL INC,True,30.799641852419366,10.475511098970886,20.684570729677763,17.667210333167755,0.03722584226547122,0.04834521407617235,0.1823912039059247,1.165495482575649,0.3401179516685846,2.359642669469259,,1.2978132741095072,5,False,,,,
32,EBAY,EBAY INC,True,25.105346319066193,11.048528358401612,21.90248501274635,18.484788129734408,0.028123735917118833,0.04565691972477283,0.5631915989891307,1.2742025741466145,0.4400866738894908,-0.4140103780578206,9.25609756097561,1.096829846883761,5,False,,,,
33,PYPL,"PayPal Holdings, Inc.",True,7.6646928804698895,1.9801213390352947,6.932784475432635,5.982831224174578,0.13872081413335607,0.14424218775928352,0.2158849238532937,0.4039025039957379,0.25834320695102686,0.2757541263517359,13.75283446712018,1.2867170510087633,8,False,,,,
34,MA,Mastercard Inc,True,32.648807674471165,63.16238248306635,26.306892801581434,24.80645475406609,0.035112429010348306,0.038012851139146514,0.9415010352772496,6.097773475314618,1.9345999741501874,0.42085828343313375,27.78970588235294,1.0349705649767156,8,False,,,,
35,HSY,HERSHEY CO,False,41.829057674220394,7.96805772411155,25.139004342804462,18.629466583252785,0.04933552604861276,0.03977882283497158,0.2668626127370672,2.4983024351693146,0.19049096888984743,-0.36361425826984894,6.4123199558730635,1.191574675885223,4,False,,,,
36,TDG,TransDigm Group INC,False,36.36734657350222,-7.787102704258063,17.46503644500447,16.050723034740425,0.024076617696777717,0.05725725240533526,-0.26562165117449704,0.649867374005305,-0.2141234771835639,-0.5922330097087378,,3.213565536205316,7,False,,,,
37,NTAP,"NetApp, Inc.",True,23.671610334521866,22.35749429078453,18.292697005286676,16.52562050018883,0.061877224304576865,0.05466662459401121,0.7331058076703422,0.7132509586706434,0.9444855662472242,0.22504047490555856,15.357798165137615,1.4364585923899527,8,False,,,,
38,TMUS,"T-Mobile US, Inc.",True,17.47752783711039,3.2449873483694645,14.924065101237343,8.58202994889475,0.09366883715688314,0.06700587227518129,0.10057572617956399,0.47684762476195447,0.1856662669121497,2.538270362097713,,0.9984081632653061,6,False,,,,
39,ADSK,"Autodesk, Inc.",True,38.948646884796034,14.377103152220277,27.90195126648336,24.833208741404817,0.05502728863734504,0.035839787348536774,0.33570096118321835,13.041322314049587,0.3691297208538588,0.14156796390298929,19.725,0.8508953168044077,8,False,,,,
40,DIS,Walt Disney Co,True,13.929610342470172,1.5726263703865513,11.914642281807305,9.140791480001749,0.058321748138149734,0.08393034187244708,0.12004787961696306,0.425427220942916,0.11289808772265152,1.588101586746514,9.68598233995585,0.7103506820443768,7,False,,,,
41,ALC,ALCON INC,True,15.363905290594731,4.682050564287694,12.859891188773476,12.859891188773476,0.06084661492488858,0.07776115562105124,0.42226358758880483,0.43681609601129545,0.3047435190292333,-0.858989898989899,275.0,3.388609715242881,6,False,,,,
42,EXPE,"Expedia Group, Inc.",True,27.397036315399124,27.610408872372638,19.347816671366363,13.12536801744977,0.08772482838839489,0.05168541841105728,0.752934506104713,0.7646097261953413,1.0077881619937694,0.271211022480058,6.25752508361204,0.7323647715675091,6,False,,,,
43,LMT,LOCKHEED MARTIN CORP,True,25.088095086981507,18.727417505041842,18.554646624160682,15.231044070013404,0.054883340979207884,0.05389485557207344,0.2695287502970718,0.7091359383599339,0.746466299657789,1.8665321724357613,6.915026833631485,1.0868652239125778,6,False,,,,
44,CVNA,CARVANA CO.,True,10.934898264236287,4.471200772386067,9.622223209877967,9.622223209877967,0.057782046138133814,0.10392608633038376,0.24142810722989438,0.37395626242544733,0.40889276373147343,1.442849548112706,3.724752475247525,4.311389071757735,5,False,,,,
